

 lipidOxidation.muscleDN 
 Annotation Data 
"ID"	"Desc"	"listMembership"	"skin.T7.DN"	"skin.T7.UP"	"skin.T14.DN"	"skin.T14.UP"	"muscle.DN"	"muscle.UP"	"skin.T7.DN.Pvalue"	"skin.T7.DN.FDR"	"skin.T7.DN.OddsRatio"	"skin.T7.DN.ExpCount"	"skin.T7.DN.Count"	"skin.T7.DN.Size"	"skin.T7.UP.Pvalue"	"skin.T7.UP.FDR"	"skin.T7.UP.OddsRatio"	"skin.T7.UP.ExpCount"	"skin.T7.UP.Count"	"skin.T7.UP.Size"	"skin.T14.DN.Pvalue"	"skin.T14.DN.FDR"	"skin.T14.DN.OddsRatio"	"skin.T14.DN.ExpCount"	"skin.T14.DN.Count"	"skin.T14.DN.Size"	"skin.T14.UP.Pvalue"	"skin.T14.UP.FDR"	"skin.T14.UP.OddsRatio"	"skin.T14.UP.ExpCount"	"skin.T14.UP.Count"	"skin.T14.UP.Size"	"muscle.DN.Pvalue"	"muscle.DN.FDR"	"muscle.DN.OddsRatio"	"muscle.DN.ExpCount"	"muscle.DN.Count"	"muscle.DN.Size"	"muscle.UP.Pvalue"	"muscle.UP.FDR"	"muscle.UP.OddsRatio"	"muscle.UP.ExpCount"	"muscle.UP.Count"	"muscle.UP.Size"
"GO:0009308"	"amine metabolic process"	"muscle.DN"	NA	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.850182852551916	1	0.702525486561631	8.39869219990659	6	338	0.934734380897244	1	0.673818418617404	17.3341429238674	12	338	0.242051257428294	1	1.41180419801355	5.05184493227464	7	338	0.000988718691201162	1	1.82506523521956	22.5280082020692	38	301	0.0854168866933595	1	1.31274238227147	27.6339826638084	35	301
"GO:0044106"	"cellular amine metabolic process"	"muscle.DN"	NA	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.935574860625118	1	0.538114927905004	7.25567491826249	4	292	0.824177412954944	1	0.788188347964884	14.9750583839327	12	292	0.27173143141534	1	1.39755698846608	4.36431574030827	6	292	0.00059673380894321	1	1.95971759564399	18.9355019107093	34	253	0.0245663728086755	1	1.50063025210084	23.227234597819	33	253
"GO:0046395"	"carboxylic acid catabolic process"	"muscle.DN"	NA	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.941167419705987	1	0.351113377528472	2.78299859878561	1	112	0.51624836015431	1	1.04763890336704	5.74385801027557	6	112	0.234794489389907	1	1.82948635540233	1.67398411957029	3	112	1.14331753281968e-06	1	3.85524256651017	7.03532482057974	22	94	0.771523451767615	1	0.794478527607362	8.62988162922919	7	94
"GO:0030258"	"lipid modification"	"muscle.DN"	TRUE	NA	TRUE	TRUE	TRUE	TRUE	0.241735286672577	1	3.75177304964539	0.275105091078935	1	95	NA	NA	NA	NA	NA	NA	0.360811329835854	1	1.24986032652554	4.87202241943017	6	95	0.762356031887922	1	0.699250635621571	1.41989724427837	1	95	0.000278284214578725	1	3.08427328706871	6.06235436666977	16	81	0.623471570338385	1	0.935306472116288	7.43638736135707	7	81
"GO:0009065"	"glutamine family amino acid catabolic process"	"muscle.DN"	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.546257117990935	1	1.32194994786236	0.769266697804764	1	15	NA	NA	NA	NA	NA	NA	0.000187351981351106	1	10.6675031367629	0.972970453909964	6	13	NA	NA	NA	NA	NA	NA
"GO:0019395"	"fatty acid oxidation"	"muscle.DN"	TRUE	NA	TRUE	NA	TRUE	TRUE	0.142794344011763	1	6.80897435897436	0.153479682391406	1	53	NA	NA	NA	NA	NA	NA	0.287991691625343	1	1.5138738064033	2.71807566557683	4	53	NA	NA	NA	NA	NA	NA	9.30235308587605e-06	1	5.42818565400844	3.21828688600988	13	43	0.360232517069361	1	1.3031686358754	3.94771180911548	5	43
"GO:0016054"	"organic acid catabolic process"	"muscle.DN"	NA	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.941167419705987	1	0.351113377528472	2.78299859878561	1	112	0.51624836015431	1	1.04763890336704	5.74385801027557	6	112	0.234794489389907	1	1.82948635540233	1.67398411957029	3	112	1.14331753281968e-06	1	3.85524256651017	7.03532482057974	22	94	0.771523451767615	1	0.794478527607362	8.62988162922919	7	94
"GO:0044242"	"cellular lipid catabolic process"	"muscle.DN"	NA	NA	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.824661906530997	1	0.666821130676552	4.41046240074731	3	86	NA	NA	NA	NA	NA	NA	1.90507633403313e-05	1	3.64807889870557	5.98751048559978	18	80	0.869504785736927	1	0.657755102040816	7.34458010998229	5	80
"GO:0006635"	"fatty acid beta-oxidation"	"muscle.DN"	NA	NA	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.83350861755906	1	0.559776598097766	1.7436711816908	1	34	NA	NA	NA	NA	NA	NA	3.93806252131695e-05	1	6.24590163934426	2.24531643209992	10	30	0.294909944837778	1	1.52403356073081	2.75421754124336	4	30
"GO:0016042"	"lipid catabolic process"	"muscle.DN"	NA	TRUE	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.886539314931343	1	0.534090909090909	3.67753386268099	2	148	0.983667905677119	1	0.379348237968928	7.59009808500701	3	148	NA	NA	NA	NA	NA	NA	0.00075939236127346	1	2.32145816072908	10.5529872308696	22	141	0.953314760041309	1	0.591714701287507	12.9448224438438	8	141
"GO:0072329"	"monocarboxylic acid catabolic process"	"muscle.DN"	NA	NA	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.449686187613708	1	1.23455433455433	2.46165343297525	3	48	NA	NA	NA	NA	NA	NA	1.56073427320191e-06	1	6.05559197587518	3.21828688600988	14	43	0.565671609191042	1	1.01466321649808	3.94771180911548	4	43
"GO:0006631"	"fatty acid metabolic process"	"muscle.DN"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.484390876812206	1	1.548	0.654460532461467	1	226	0.978041404972738	1	0.345474837662338	5.61569360112097	2	226	0.614980708730042	1	0.945370450419296	11.5902849135918	11	226	0.660838439717767	1	0.884464882465511	3.37786081270434	3	226	1.09391350458044e-08	1	3.19698952879581	14.5945568086495	39	195	0.917126466085888	1	0.702674897119342	17.9024140180818	13	195
"GO:0009062"	"fatty acid catabolic process"	"muscle.DN"	NA	NA	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.408295293552882	1	1.32312925170068	2.30780009341429	3	45	NA	NA	NA	NA	NA	NA	2.73569541214647e-06	1	6.26582278481013	2.91891136172989	13	39	0.486774317054783	1	1.13109072375127	3.58048280361637	4	39
"GO:0034440"	"lipid oxidation"	"muscle.DN"	TRUE	NA	TRUE	NA	TRUE	TRUE	0.145289028140155	1	6.67987421383648	0.156375525455395	1	54	NA	NA	NA	NA	NA	NA	0.299669673419226	1	1.4834495412844	2.76936011209715	4	54	NA	NA	NA	NA	NA	NA	1.61370950262854e-05	1	5.08789556962025	3.36797464814987	13	45	0.39793533514346	1	1.23775510204082	4.13132631186504	5	45
"GO:0032787"	"monocarboxylic acid metabolic process"	"muscle.DN"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0.571142305461133	1	1.20638792102207	0.834002802428772	1	288	0.976272717457648	1	0.406403842305383	7.15628211116301	3	288	0.621436488001949	1	0.943775155194761	14.7699205978515	14	288	0.431641888948257	1	1.16972529351419	4.30453059318076	5	288	6.70767746379109e-11	1	3.21595096004152	19.1600335539193	51	256	0.98099348607419	1	0.609766009325405	23.5026563519433	15	256
Item Data 
"Entrez"	"symbol"	"name"	"is.skin.T7.DN"	"is.skin.T7.UP"	"is.skin.T14.DN"	"is.skin.T14.UP"	"is.muscle.DN"	"is.muscle.UP"
"100470"	"Lao1"	"L-amino acid oxidase 1"	NA	NA	NA	TRUE	NA	NA
"100678"	"Psph"	"phosphoserine phosphatase"	NA	NA	NA	NA	TRUE	NA
"104776"	"Aldh6a1"	"aldehyde dehydrogenase family 6, subfamily A1"	NA	NA	TRUE	NA	NA	NA
"104923"	"Adi1"	"acireductone dioxygenase 1"	NA	NA	TRUE	NA	NA	NA
"105349"	"Akr1c18"	"aldo-keto reductase family 1, member C18"	NA	TRUE	NA	NA	NA	NA
"105501"	"Abhd4"	"abhydrolase domain containing 4"	NA	NA	NA	NA	NA	TRUE
"107045"	"Lars"	"leucyl-tRNA synthetase"	NA	NA	NA	NA	NA	TRUE
"107272"	"Psat1"	"phosphoserine aminotransferase 1"	NA	NA	NA	NA	NA	TRUE
"108079"	"Prkaa2"	"protein kinase, AMP-activated, alpha 2 catalytic subunit"	NA	NA	NA	NA	TRUE	NA
"108682"	"Gpt2"	"glutamic pyruvate transaminase (alanine aminotransferase) 2"	NA	NA	NA	NA	TRUE	NA
"108902"	"B3gnt1"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1"	NA	NA	NA	NA	TRUE	NA
"109264"	"Me3"	"malic enzyme 3, NADP(+)-dependent, mitochondrial"	NA	NA	NA	NA	TRUE	NA
"109731"	"Maob"	"monoamine oxidase B"	NA	NA	NA	NA	TRUE	NA
"109900"	"Asl"	"argininosuccinate lyase"	NA	NA	NA	TRUE	NA	TRUE
"110960"	"Tars"	"threonyl-tRNA synthetase"	NA	NA	NA	NA	NA	TRUE
"11363"	"Acadl"	"acyl-Coenzyme A dehydrogenase, long-chain"	NA	NA	NA	NA	TRUE	NA
"11364"	"Acadm"	"acyl-Coenzyme A dehydrogenase, medium chain"	NA	NA	NA	NA	TRUE	NA
"11370"	"Acadvl"	"acyl-Coenzyme A dehydrogenase, very long chain"	NA	NA	NA	NA	TRUE	NA
"113868"	"Acaa1a"	"acetyl-Coenzyme A acyltransferase 1A"	NA	NA	NA	NA	TRUE	NA
"11593"	"Aga"	"aspartylglucosaminidase"	NA	NA	NA	NA	TRUE	NA
"11600"	"Angpt1"	"angiopoietin 1"	NA	NA	NA	NA	TRUE	NA
"11606"	"Agt"	"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"	NA	NA	NA	NA	TRUE	NA
"11652"	"Akt2"	"thymoma viral proto-oncogene 2"	NA	NA	NA	NA	NA	TRUE
"11668"	"Aldh1a1"	"aldehyde dehydrogenase family 1, subfamily A1"	NA	NA	NA	NA	TRUE	NA
"117150"	"Pip4k2c"	"phosphatidylinositol-5-phosphate 4-kinase, type II, gamma"	NA	NA	TRUE	NA	NA	TRUE
"11758"	"Prdx6"	"peroxiredoxin 6"	NA	NA	NA	NA	NA	TRUE
"11770"	"Fabp4"	"fatty acid binding protein 4, adipocyte"	NA	NA	NA	NA	TRUE	NA
"11898"	"Ass1"	"argininosuccinate synthetase 1"	NA	NA	NA	NA	NA	TRUE
"12111"	"Bgn"	"biglycan"	NA	TRUE	NA	NA	NA	TRUE
"12389"	"Cav1"	"caveolin 1, caveolae protein"	NA	NA	NA	NA	TRUE	NA
"12491"	"Cd36"	"CD36 antigen"	NA	NA	NA	NA	TRUE	NA
"12715"	"Ckm"	"creatine kinase, muscle"	NA	NA	NA	NA	TRUE	NA
"12896"	"Cpt2"	"carnitine palmitoyltransferase 2"	NA	NA	NA	NA	TRUE	NA
"12908"	"Crat"	"carnitine acetyltransferase"	NA	NA	NA	NA	TRUE	NA
"12922"	"Crhr2"	"corticotropin releasing hormone receptor 2"	NA	NA	NA	NA	TRUE	NA
"13244"	"Degs1"	"degenerative spermatocyte homolog 1 (Drosophila)"	NA	NA	NA	NA	NA	TRUE
"13371"	"Dio2"	"deiodinase, iodothyronine, type II"	NA	NA	NA	NA	NA	TRUE
"13382"	"Dld"	"dihydrolipoamide dehydrogenase"	NA	NA	TRUE	NA	TRUE	NA
"13433"	"Dnmt1"	"DNA methyltransferase (cytosine-5) 1"	NA	NA	NA	NA	NA	TRUE
"13435"	"Dnmt3a"	"DNA methyltransferase 3A"	NA	NA	NA	NA	TRUE	NA
"13819"	"Epas1"	"endothelial PAS domain protein 1"	NA	NA	NA	NA	TRUE	NA
"13850"	"Ephx2"	"epoxide hydrolase 2, cytoplasmic"	NA	NA	NA	NA	TRUE	NA
"14077"	"Fabp3"	"fatty acid binding protein 3, muscle and heart"	NA	NA	NA	NA	TRUE	NA
"14081"	"Acsl1"	"acyl-CoA synthetase long-chain family member 1"	NA	NA	NA	NA	TRUE	NA
"14245"	"Lpin1"	"lipin 1"	NA	NA	NA	NA	TRUE	NA
"14381"	"G6pdx"	"glucose-6-phosphate dehydrogenase X-linked"	NA	NA	NA	NA	NA	TRUE
"14385"	"Slc37a4"	"solute carrier family 37 (glucose-6-phosphate transporter), member 4"	NA	NA	NA	NA	TRUE	NA
"14600"	"Ghr"	"growth hormone receptor"	NA	NA	NA	NA	TRUE	NA
"14629"	"Gclc"	"glutamate-cysteine ligase, catalytic subunit"	NA	NA	NA	NA	NA	TRUE
"14630"	"Gclm"	"glutamate-cysteine ligase, modifier subunit"	NA	NA	NA	NA	NA	TRUE
"14660"	"Gls"	"glutaminase"	NA	NA	NA	NA	TRUE	NA
"14718"	"Got1"	"glutamate oxaloacetate transaminase 1, soluble"	NA	NA	NA	NA	TRUE	NA
"14719"	"Got2"	"glutamate oxaloacetate transaminase 2, mitochondrial"	NA	NA	TRUE	NA	TRUE	NA
"14726"	"Pdpn"	"podoplanin"	NA	NA	NA	NA	NA	TRUE
"14778"	"Gpx3"	"glutathione peroxidase 3"	NA	NA	NA	NA	NA	TRUE
"14782"	"Gsr"	"glutathione reductase"	NA	NA	NA	NA	NA	TRUE
"14862"	"Gstm1"	"glutathione S-transferase, mu 1"	NA	NA	NA	NA	NA	TRUE
"15107"	"Hadh"	"hydroxyacyl-Coenzyme A dehydrogenase"	NA	NA	NA	NA	TRUE	NA
"15115"	"Hars"	"histidyl-tRNA synthetase"	NA	NA	NA	NA	NA	TRUE
"15452"	"Hprt"	"hypoxanthine guanine phosphoribosyl transferase"	NA	NA	NA	NA	NA	TRUE
"15531"	"Ndst1"	"N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1"	NA	NA	NA	TRUE	NA	NA
"16168"	"Il15"	"interleukin 15"	NA	NA	NA	NA	TRUE	NA
"16367"	"Irs1"	"insulin receptor substrate 1"	NA	NA	NA	NA	TRUE	NA
"16828"	"Ldha"	"lactate dehydrogenase A"	NA	NA	NA	NA	TRUE	NA
"16832"	"Ldhb"	"lactate dehydrogenase B"	NA	NA	NA	NA	TRUE	NA
"16889"	"Lipa"	"lysosomal acid lipase A"	NA	TRUE	NA	NA	NA	NA
"16922"	"Phyh"	"phytanoyl-CoA hydroxylase"	NA	NA	TRUE	NA	TRUE	NA
"16956"	"Lpl"	"lipoprotein lipase"	NA	NA	NA	NA	TRUE	NA
"170442"	"Bbox1"	"butyrobetaine (gamma), 2-oxoglutarate dioxygenase 1 (gamma-butyrobetaine hydroxylase)"	NA	NA	TRUE	NA	NA	NA
"170716"	"Cyp4f13"	"cytochrome P450, family 4, subfamily f, polypeptide 13"	NA	NA	TRUE	NA	NA	NA
"17918"	"Myo5a"	"myosin VA"	NA	NA	NA	NA	NA	TRUE
"18160"	"Npr1"	"natriuretic peptide receptor 1"	NA	TRUE	NA	NA	NA	NA
"18245"	"Oaz1"	"ornithine decarboxylase antizyme 1"	NA	NA	TRUE	NA	NA	NA
"18263"	"Odc1"	"ornithine decarboxylase, structural 1"	NA	NA	NA	NA	NA	TRUE
"18453"	"P4hb"	"prolyl 4-hydroxylase, beta polypeptide"	NA	TRUE	NA	NA	NA	TRUE
"18475"	"Pafah1b2"	"platelet-activating factor acetylhydrolase, isoform 1b, subunit 2"	NA	NA	NA	NA	NA	TRUE
